index,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type,CEC_hybrid
ABB__MICRO_0_3HV_I_OUTD_US_208__208V_,208,1.769444,300.0,312.421082,45.0,-4.5e-05,-0.000196,0.001959,-0.023725,0.09,60.0,6.942691,30.0,60.0,,Utility Interactive,
ABB__MICRO_0_3HV_I_OUTD_US_240__240V_,240,1.843781,300.0,312.004578,45.0,-3.5e-05,-0.000227,-0.000526,-0.041214,0.09,60.0,6.933435,30.0,60.0,,Utility Interactive,
ABB__MICRO_0_3_I_OUTD_US_208__208V_,208,1.846506,300.0,311.66925,40.0,-3.3e-05,-0.000192,0.000907,-0.031742,0.09,50.0,7.791731,30.0,50.0,,Utility Interactive,
ABB__MICRO_0_3_I_OUTD_US_240__240V_,240,1.950539,300.0,311.580872,40.0,-3.4e-05,-0.000256,0.002453,-0.028223,0.09,50.0,7.789522,30.0,50.0,,Utility Interactive,
ABB__PVI_10_0_I_OUTD_x_US_208_y__208V_,208,46.863808,10000.0,10488.306641,320.0,-2.775901e-06,-3.6e-05,0.000305,-0.002351,0.1,416.0,32.775958,220.0,416.0,,Utility Interactive,
ABB__PVI_10_0_I_OUTD_x_US_480_y_z__480V_,480,67.790878,10000.0,10295.979492,362.0,-1.38839e-06,-4.9e-05,-0.00052,-0.003855,0.4,416.0,28.441932,220.0,416.0,,Utility Interactive,
ABB__PVI_12_0_I_OUTD_x_US_480_y__480V_,480,62.554672,12000.0,12358.804688,370.0,-1.008995e-06,-5.6e-05,-0.001437,-0.007112,0.4,416.0,33.402175,250.0,416.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_A__208V_,208,18.166279,3000.0,3142.30127,310.0,-8.039486e-06,-1.1e-05,0.000999,-0.000287,0.1,480.0,10.136456,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_A__240V_,240,16.880829,3000.0,3121.669922,340.0,-5.701901e-06,-2.1e-05,0.000582,-0.000712,0.1,480.0,9.181382,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_A__277V_,277,22.045107,3000.0,3106.850098,390.0,-5.464468e-06,-3.3e-05,-3.2e-05,-0.00118,0.2,480.0,7.966282,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z_A__208V_,208,18.166279,3000.0,3142.30127,310.0,-8.039486e-06,-1.1e-05,0.000999,-0.000287,0.1,480.0,10.136456,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z_A__240V_,240,16.880829,3000.0,3121.669922,340.0,-5.701901e-06,-2.1e-05,0.000582,-0.000712,0.1,480.0,9.181382,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z_A__277V_,277,22.045107,3000.0,3106.850098,390.0,-5.464468e-06,-3.3e-05,-3.2e-05,-0.00118,0.2,480.0,7.966282,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z_M_A__208V_,208,18.166279,3000.0,3142.30127,310.0,-8.039486e-06,-1.1e-05,0.000999,-0.000287,0.9,480.0,10.136456,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z_M_A__240V_,240,16.880829,3000.0,3121.669922,340.0,-5.701901e-06,-2.1e-05,0.000582,-0.000712,0.9,480.0,9.181382,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z_M_A__277V_,277,22.045107,3000.0,3106.850098,390.0,-5.464468e-06,-3.3e-05,-3.2e-05,-0.00118,0.9,480.0,7.966282,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z__208V_,208,18.166279,3000.0,3142.30127,310.0,-8.039486e-06,-1.1e-05,0.000999,-0.000287,0.1,480.0,10.136456,100.0,480.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z__240V_,240,16.880829,3000.0,3121.669922,340.0,-5.701901e-06,-2.1e-05,0.000582,-0.000712,0.1,480.0,9.181382,100.0,480.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US_Z__277V_,277,22.045107,3000.0,3106.850098,390.0,-5.464468e-06,-3.3e-05,-3.2e-05,-0.00118,0.2,480.0,7.966282,100.0,480.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US__208V_,208,18.166279,3000.0,3142.30127,310.0,-8.039486e-06,-1.1e-05,0.000999,-0.000287,0.1,480.0,10.136456,100.0,480.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US__240V_,240,16.880829,3000.0,3121.669922,340.0,-5.701901e-06,-2.1e-05,0.000582,-0.000712,0.1,480.0,9.181382,100.0,480.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_S_US__277V_,277,22.045107,3000.0,3106.850098,390.0,-5.464468e-06,-3.3e-05,-3.2e-05,-0.00118,0.2,480.0,7.966282,100.0,480.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_US__208V_,208,18.166279,3000.0,3142.30127,310.0,-8.039486e-06,-1.1e-05,0.000999,-0.000287,0.1,480.0,10.136456,100.0,480.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_US__240V_,240,16.880829,3000.0,3121.669922,340.0,-5.701901e-06,-2.1e-05,0.000582,-0.000712,0.1,480.0,9.181382,100.0,480.0,,Utility Interactive,
ABB__PVI_3_0_OUTD_US__277V_,277,22.045107,3000.0,3106.850098,390.0,-5.464468e-06,-3.3e-05,-3.2e-05,-0.00118,0.2,480.0,7.966282,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_A__208V_,208,25.595329,3600.0,3757.450928,310.0,-5.213146e-06,-3.335618e-06,0.000859,0.000536,0.1,480.0,12.120809,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_A__240V_,240,22.814655,3600.0,3739.761475,340.0,-3.048336e-06,-1.8e-05,0.000483,0.001023,0.2,480.0,10.999298,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_A__277V_,277,29.811159,3600.0,3724.187988,395.0,-3.752804e-06,-3.5e-05,-0.000141,0.000468,0.2,480.0,9.428324,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z_A__208V_,208,25.595329,3600.0,3757.450928,310.0,-5.213146e-06,-3.335618e-06,0.000859,0.000536,0.1,480.0,12.120809,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z_A__240V_,240,22.814655,3600.0,3739.761475,340.0,-3.048336e-06,-1.8e-05,0.000483,0.001023,0.2,480.0,10.999298,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z_A__277V_,277,29.811159,3600.0,3724.187988,395.0,-3.752804e-06,-3.5e-05,-0.000141,0.000468,0.2,480.0,9.428324,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z_M_A__208V_,208,25.595329,3600.0,3757.450928,310.0,-5.213146e-06,-3.335618e-06,0.000859,0.000536,1.08,480.0,12.120809,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z_M_A__240V_,240,22.814655,3600.0,3739.761475,340.0,-3.048336e-06,-1.8e-05,0.000483,0.001023,1.08,480.0,10.999298,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z_M_A__277V_,277,29.811159,3600.0,3724.187988,395.0,-3.752804e-06,-3.5e-05,-0.000141,0.000468,1.08,480.0,9.428324,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z__208V_,208,25.595329,3600.0,3757.450928,310.0,-5.213146e-06,-3.335618e-06,0.000859,0.000536,0.1,480.0,12.120809,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z__240V_,240,22.814655,3600.0,3739.761475,340.0,-3.048336e-06,-1.8e-05,0.000483,0.001023,0.2,480.0,10.999298,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US_Z__277V_,277,29.811159,3600.0,3724.187988,395.0,-3.752804e-06,-3.5e-05,-0.000141,0.000468,0.2,480.0,9.428324,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US__208V_,208,25.595329,3600.0,3757.450928,310.0,-5.213146e-06,-3.335618e-06,0.000859,0.000536,0.1,480.0,12.120809,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US__240V_,240,22.814655,3600.0,3739.761475,340.0,-3.048336e-06,-1.8e-05,0.000483,0.001023,0.2,480.0,10.999298,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_S_US__277V_,277,29.811159,3600.0,3724.187988,395.0,-3.752804e-06,-3.5e-05,-0.000141,0.000468,0.2,480.0,9.428324,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_US__208V_,208,25.595329,3600.0,3757.450928,310.0,-5.213146e-06,-3.335618e-06,0.000859,0.000536,0.1,480.0,12.120809,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_US__240V_,240,22.814655,3600.0,3739.761475,340.0,-3.048336e-06,-1.8e-05,0.000483,0.001023,0.2,480.0,10.999298,100.0,480.0,,Utility Interactive,
ABB__PVI_3_6_OUTD_US__277V_,277,29.811159,3600.0,3724.187988,395.0,-3.752804e-06,-3.5e-05,-0.000141,0.000468,0.2,480.0,9.428324,100.0,480.0,,Utility Interactive,
ABB__PVI_3_8_I_OUTD_x_US_y_Z__208V_,208,25.361233,3300.0,3429.628906,310.0,-5.302913e-06,-6.254045e-06,0.002169,0.000453,0.1,416.0,11.063319,100.0,416.0,,Utility Interactive,
ABB__PVI_3_8_I_OUTD_x_US_y_Z__240V_,240,25.460489,3800.0,3936.679688,340.0,-3.770856e-06,-1.6e-05,0.00142,-0.000446,0.1,416.0,11.57847,100.0,416.0,,Utility Interactive,
ABB__PVI_3_8_I_OUTD_x_US_y_Z__277V_,277,26.157766,3800.0,3925.978516,362.0,-3.205597e-06,-2.6e-05,0.000742,-0.001012,0.1,416.0,10.845245,100.0,416.0,,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_A__208V_,208,25.784565,3800.0,3972.822021,310.0,-4.867178e-06,-1.2e-05,0.001047,0.00026,1.14,480.0,12.815555,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_A__240V_,240,26.980518,3800.0,3950.148682,340.0,-3.287852e-06,-2.4e-05,0.000675,0.00051,1.14,480.0,11.618084,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_A__277V_,277,29.742764,3800.0,3931.927246,395.0,-2.82256e-06,-3.8e-05,1.9e-05,-2.2e-05,1.14,480.0,9.954246,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z_A__208V_,208,25.784565,3800.0,3972.822021,310.0,-4.867178e-06,-1.2e-05,0.001047,0.00026,1.14,480.0,12.815555,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z_A__240V_,240,26.980518,3800.0,3950.148682,340.0,-3.287852e-06,-2.4e-05,0.000675,0.00051,1.14,480.0,11.618084,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z_A__277V_,277,29.742764,3800.0,3931.927246,395.0,-2.82256e-06,-3.8e-05,1.9e-05,-2.2e-05,1.14,480.0,9.954246,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z_M_A__208V_,208,25.784565,3800.0,3972.822021,310.0,-4.867178e-06,-1.2e-05,0.001047,0.00026,1.14,480.0,12.815555,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z_M_A__240V_,240,26.980518,3800.0,3950.148682,340.0,-3.287852e-06,-2.4e-05,0.000675,0.00051,1.14,480.0,11.618084,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z_M_A__277V_,277,29.742764,3800.0,3931.927246,395.0,-2.82256e-06,-3.8e-05,1.9e-05,-2.2e-05,1.14,480.0,9.954246,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z__208V_,208,25.784565,3800.0,3972.822021,310.0,-4.867178e-06,-1.2e-05,0.001047,0.00026,1.14,480.0,12.815555,100.0,480.0,,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z__240V_,240,26.980518,3800.0,3950.148682,340.0,-3.287852e-06,-2.4e-05,0.000675,0.00051,1.14,480.0,11.618084,100.0,480.0,,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US_Z__277V_,277,29.742764,3800.0,3931.927246,395.0,-2.82256e-06,-3.8e-05,1.9e-05,-2.2e-05,1.14,480.0,9.954246,100.0,480.0,,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US__208V_,208,25.784565,3800.0,3972.822021,310.0,-4.867178e-06,-1.2e-05,0.001047,0.00026,1.14,480.0,12.815555,100.0,480.0,,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US__240V_,240,26.980518,3800.0,3950.148682,340.0,-3.287852e-06,-2.4e-05,0.000675,0.00051,1.14,480.0,11.618084,100.0,480.0,,Utility Interactive,
ABB__PVI_3_8_OUTD_S_US__277V_,277,29.742764,3800.0,3931.927246,395.0,-2.82256e-06,-3.8e-05,1.9e-05,-2.2e-05,1.14,480.0,9.954246,100.0,480.0,,Utility Interactive,
ABB__PVI_3_8_OUTD_US__208V_,208,25.784565,3800.0,3972.822021,310.0,-4.867178e-06,-1.2e-05,0.001047,0.00026,1.14,480.0,12.815555,100.0,480.0,,Utility Interactive,
